      ;              ;        Общо      ;        Обществен сектор      ;        Частен сектор      ;
      ;              ;        левове      ;        левове      ;        левове      ;
Общо      ;        2000      ;        2694      ;        3159      ;        2310      ;
Общо      ;        2001      ;        2880      ;        3491      ;        2452      ;
Общо      ;        2002      ;        3091      ;        3871      ;        2613      ;
Общо      ;        2003      ;        3280      ;        4118      ;        2790      ;
Общо      ;        2004      ;        3509      ;        4400      ;        3049      ;
Общо      ;        2005      ;        3885      ;        4811      ;        3461      ;
Общо      ;        2006      ;        4324      ;        5292      ;        3917      ;
Общо      ;        2007      ;        5167      ;        6256      ;        4760      ;
Общо      ;        2008      ;        6538      ;        7811      ;        6114      ;
Общо      ;        2009      ;        7309      ;        8563      ;        6886      ;
Общо      ;        2010      ;        7777      ;        8983      ;        7366      ;
Общо      ;        2011      ;        8230      ;        9133      ;        7926      ;
Общо      ;        2012      ;        8773      ;        9496      ;        8528      ;
Общо      ;        2013      ;        9301      ;        10027      ;        9054      ;
Общо      ;        2014      ;        9860      ;        10654      ;        9602      ;
Общо      ;        2015      ;        10535      ;        11109      ;        10355      ;
Общо      ;        2016      ;        11379      ;        11772      ;        11257      ;
Общо      ;        2017      ;        12448      ;        12789      ;        12344      ;
Общо      ;        2018      ;        13755      ;        13884      ;        13717      ;
Общо      ;        2019      ;        15209      ;        15522      ;        15114      ;
Общо      ;        2020      ;        16687      ;        17239      ;        16508      ;
Общо      ;        2021      ;        18733      ;        19920      ;        18353      ;
Общо      ;        2022      ;        21242      ;        21700      ;        21096      ;
Общо      ;        2023      ;        24485      ;        25083      ;        24295      ;
